Fecha,Región,PIB,Tasa_Desempleo,Inflación,Comercio_Exterior,Producción_Industrial,Sector
2020-01-01,Sur,5496.71,12.05,2.59,186.17,96.49,Agricultura
2021-03-01,Norte,4765.86,4.64,4.2,357.92,111.51,Servicios
2024-02-01,Occidente,4530.53,6.0,0.1,254.26,103.63,Industria
2020-01-01,Norte,3086.72,8.75,0.75,98.72,104.71,Agricultura
2021-09-01,Occidente,4091.98,9.02,3.71,58.77,101.01,Agricultura
2024-04-01,Occidente,3575.25,10.52,-0.72,84.9,105.64,Industria
2021-08-01,Occidente,4399.36,11.53,1.64,170.83,99.8,Industria
2020-03-01,Oriente,3942.29,4.38,4.46,282.25,81.69,Industria
2022-03-01,Centro,5208.86,10.01,0.11,4.03,111.08,Industria
2020-02-01,Oriente,5171.37,4.97,0.18,188.44,95.48,Agricultura
2022-06-01,Occidente,3521.48,13.12,1.14,128.02,105.15,Industria
2020-12-01,Oriente,3236.96,5.55,3.81,132.31,109.18,Servicios
2020-07-01,Norte,6031.0,12.48,-0.56,293.13,87.41,Servicios
2022-11-01,Occidente,4690.79,13.49,2.74,152.08,97.22,Industria
2024-04-01,Norte,3893.67,12.03,2.83,80.38,98.92,Agricultura
2021-05-01,Norte,6003.53,5.32,3.28,236.14,123.07,Agricultura
2020-07-01,Sur,4964.17,9.75,1.57,356.46,101.31,Industria
2022-03-01,Sur,4700.99,7.46,2.05,178.03,105.36,Industria
2021-11-01,Sur,6477.89,6.52,-0.54,148.17,87.87,Servicios
2020-10-01,Centro,4498.24,14.23,3.85,291.54,104.93,Servicios
2021-03-01,Oriente,4470.24,13.82,2.24,251.33,89.47,Industria
2022-11-01,Occidente,4672.34,6.51,1.56,229.61,103.92,Agricultura
2022-01-01,Centro,5005.11,8.59,0.33,176.54,94.86,Agricultura
2022-07-01,Sur,4197.72,14.37,0.94,388.62,102.62,Agricultura
2021-10-01,Sur,5257.55,14.59,0.51,192.56,71.22,Agricultura
2023-07-01,Oriente,4973.49,7.13,-0.78,206.02,136.95,Agricultura
2022-03-01,Centro,4807.64,5.59,1.94,230.15,117.14,Servicios
2024-09-01,Sur,5751.93,6.61,3.37,340.28,78.97,Servicios
2024-07-01,Occidente,5586.86,4.99,4.01,419.05,85.14,Industria
2022-04-01,Centro,4433.7,4.45,2.55,44.93,101.03,Servicios
2023-02-01,Norte,3937.7,11.6,1.32,247.36,88.25,Agricultura
2021-11-01,Centro,4677.94,14.17,4.26,281.35,81.54,Servicios
2023-10-01,Norte,5227.46,9.83,0.45,330.71,103.9,Industria
2023-10-01,Oriente,5781.82,7.73,1.1,252.19,104.45,Servicios
2022-09-01,Norte,5250.49,11.06,-0.5,234.64,104.4,Servicios
2020-11-01,Occidente,4285.65,4.06,-0.04,386.58,107.11,Industria
2022-02-01,Sur,3808.7,11.83,0.42,265.66,117.38,Industria
2021-08-01,Norte,4179.32,11.15,4.1,282.21,128.45,Servicios
2022-09-01,Centro,4754.61,6.92,0.46,124.63,98.84,Servicios
2020-11-01,Sur,5341.15,13.81,2.79,201.3,121.8,Servicios
2024-10-01,Centro,4735.34,6.15,3.33,472.02,83.94,Agricultura
2022-03-01,Occidente,5482.47,14.35,4.72,177.65,110.71,Servicios
2020-10-01,Sur,5473.24,14.6,4.12,192.72,87.3,Industria
2020-02-01,Sur,3485.15,13.36,0.9,221.41,81.31,Industria
2021-01-01,Centro,5173.18,10.27,-0.42,238.53,100.87,Servicios
2020-02-01,Oriente,3857.03,13.65,3.44,308.31,115.81,Agricultura
2024-03-01,Centro,3622.33,12.9,3.86,106.22,107.73,Servicios
2023-09-01,Centro,8852.73,12.78,2.9,295.4,109.77,Industria
2024-10-01,Oriente,4684.73,8.13,-0.44,275.9,92.72,Agricultura
2024-12-01,Centro,5081.87,9.12,2.26,268.63,75.81,Servicios
2022-07-01,Sur,4528.07,5.4,2.13,308.9,89.27,Industria
2024-08-01,Norte,5679.6,10.85,-0.49,204.56,90.23,Agricultura
2021-02-01,Sur,7143.94,11.99,4.86,263.39,69.62,Agricultura
2024-09-01,Centro,5186.45,12.75,0.62,120.75,98.28,Servicios
2021-01-01,Norte,5504.99,8.5,0.04,286.58,92.88,Servicios
2020-04-01,Norte,4346.67,10.04,3.29,73.91,113.77,Agricultura
2022-02-01,Occidente,7122.16,8.62,0.49,303.25,119.0,Agricultura
2022-11-01,Oriente,4292.33,4.16,-0.3,244.38,111.62,Agricultura
2024-03-01,Occidente,4073.07,9.41,1.84,194.05,96.21,Servicios
2023-04-01,Oriente,3752.22,8.38,2.7,156.0,101.96,Industria
2021-02-01,Norte,6441.27,9.53,4.14,56.41,85.28,Servicios
2023-06-01,Oriente,5462.1,4.78,2.85,206.98,94.22,Industria
2023-12-01,Norte,5113.52,8.27,2.86,266.21,132.0,Servicios
2020-01-01,Oriente,3047.91,14.36,1.32,228.1,90.66,Servicios
2022-02-01,Centro,4791.88,13.29,-0.86,150.7,91.16,Agricultura
2021-09-01,Oriente,5849.6,5.3,3.18,289.96,104.61,Agricultura
2023-03-01,Sur,5812.86,7.1,0.06,262.96,111.21,Industria
2021-02-01,Oriente,5610.37,14.9,1.48,327.77,91.13,Servicios
2020-01-01,Occidente,5547.1,13.44,1.57,179.78,112.38,Agricultura
2020-04-01,Centro,5813.51,5.13,4.42,330.55,100.32,Industria
