Año,Departamento,Institución,Matrícula_Inicial,Matrícula_Final,Tasa_Deserción,Causa_Probable,Estrato_Promedio,Distancia_Promedio_Km
2020,Amazonas,Ellis-Gray Rural,239,209,0.125,Trabajo infantil,1.4,6.58
2021,Cauca,Johnson Ltd Rural,223,202,0.093,Otro,1.1,4.56
2023,Amazonas,Little Inc Rural,57,51,0.088,Económica,1.3,0.3
2024,Amazonas,"Gallegos, Benson and Hill Rural",193,176,0.088,Migración,2.1,10.06
2024,Casanare,Mueller-Miller Rural,106,87,0.179,Acceso,1.9,0.1
2020,La Guajira,"Pierce, Kirby and Martinez Rural",228,196,0.138,Acceso,1.5,17.52
2021,Nariño,Alvarado-Ortiz Rural,295,272,0.077,Trabajo infantil,1.2,1.0
2023,Cauca,Stephenson and Sons Rural,141,123,0.127,Trabajo infantil,1.9,1.01
2020,Meta,Collier Ltd Rural,187,166,0.112,Económica,2.5,2.83
2023,Cauca,"Moore, Stone and Johnson Rural",191,190,0.004,Trabajo infantil,2.2,1.72
2024,Putumayo,Cameron Inc Rural,197,187,0.049,Migración,2.1,1.73
2020,Nariño,Williams PLC Rural,247,218,0.116,Trabajo infantil,2.5,2.28
2021,Cauca,"Simmons, Gomez and Mcclain Rural",147,121,0.173,Trabajo infantil,1.7,1.11
2022,La Guajira,Fox Ltd Rural,144,131,0.089,Trabajo infantil,1.3,3.61
2022,Cauca,"Tran, Suarez and Boone Rural",205,190,0.073,Migración,1.8,4.68
2021,La Guajira,Fuller and Sons Rural,168,150,0.106,Acceso,1.4,0.93
2024,Nariño,Calhoun-Robinson Rural,225,209,0.07,Trabajo infantil,2.3,5.76
2020,Nariño,Hicks-Curtis Rural,260,237,0.085,Económica,2.2,2.9
2023,Chocó,"Miller, Hancock and Davis Rural",66,59,0.099,Migración,2.4,0.17
2024,Putumayo,"Spencer, Kramer and Carter Rural",104,99,0.047,Acceso,1.6,12.0
2023,La Guajira,Day-Williams Rural,117,100,0.141,Migración,1.4,1.87
2024,Guaviare,Harrison LLC Rural,117,112,0.039,Otro,1.6,3.67
2024,Casanare,Hood-Williams Rural,142,137,0.034,Migración,2.5,17.46
2021,Guaviare,"Lara, Cowan and King Rural",176,156,0.11,Económica,2.1,7.46
2020,La Guajira,Miller-Hernandez Rural,210,181,0.137,Migración,2.2,0.46
2023,Cauca,"Hernandez, Powell and Waller Rural",148,131,0.109,Acceso,1.9,1.09
2023,Guaviare,Schmidt-Nelson Rural,114,103,0.094,Otro,2.3,2.46
2020,Cauca,Mann-Lucero Rural,224,204,0.085,Otro,2.1,1.58
2022,Cauca,Young-Yoder Rural,125,115,0.077,Acceso,1.2,1.65
2020,Chocó,Mays-Vincent Rural,298,252,0.153,Otro,2.1,3.91
2024,Cauca,Parker Inc Rural,272,240,0.116,Trabajo infantil,2.3,0.39
2024,Nariño,Moore-Hoover Rural,89,81,0.081,Trabajo infantil,2.1,21.67
2024,Guaviare,Hanson-Tate Rural,285,266,0.066,Económica,1.9,0.03
2023,Amazonas,"Richardson, Poole and Floyd Rural",78,67,0.131,Trabajo infantil,2.3,8.45
2022,Nariño,Smith PLC Rural,64,54,0.152,Migración,2.3,7.38
2020,Cauca,Lopez Inc Rural,237,202,0.147,Acceso,2.2,0.38
2024,La Guajira,"Payne, Townsend and Hendricks Rural",82,77,0.058,Acceso,2.4,9.94
2021,Chocó,Mathis Ltd Rural,185,169,0.085,Otro,1.6,4.88
2021,Guaviare,"Reynolds, Taylor and Sanders Rural",243,224,0.076,Migración,2.1,1.86
2023,Putumayo,"Sullivan, Jackson and Chambers Rural",162,147,0.091,Otro,1.7,1.97
2021,Nariño,Acosta-Hernandez Rural,66,56,0.141,Trabajo infantil,1.0,10.91
2024,Nariño,"Gillespie, Greer and Henson Rural",200,166,0.168,Migración,1.0,3.2
2020,Nariño,Brewer-Parker Rural,67,59,0.118,Económica,2.3,7.15
2020,Guaviare,Diaz-Velazquez Rural,110,102,0.068,Trabajo infantil,2.0,4.12
2021,Guaviare,Roberts-Kennedy Rural,83,74,0.098,Otro,1.9,3.7
2021,Meta,Ward-Huffman Rural,256,210,0.178,Acceso,1.3,2.79
2020,Casanare,"Young, Chavez and George Rural",140,125,0.104,Acceso,1.6,1.89
2020,Cauca,"Smith, Cross and Haley Rural",65,59,0.085,Acceso,2.1,3.55
2020,Nariño,Leonard PLC Rural,99,90,0.089,Migración,1.8,2.64
2021,Casanare,Rangel-Thompson Rural,96,84,0.118,Trabajo infantil,1.7,7.04
2020,Meta,Harris-Mckinney Rural,256,240,0.06,Otro,1.1,13.27
2024,Amazonas,"Patterson, Lucero and Lee Rural",298,275,0.075,Económica,2.4,8.25
2021,La Guajira,Rodriguez-Conrad Rural,154,131,0.146,Acceso,1.7,8.14
2023,Amazonas,Valenzuela and Sons Rural,92,81,0.116,Acceso,1.0,1.03
2023,Chocó,"Cochran, Baker and Powers Rural",287,256,0.105,Acceso,1.4,8.24
2024,Meta,"Higgins, Tran and Lewis Rural",89,75,0.148,Migración,1.4,11.32
2020,Guaviare,Curry Ltd Rural,65,60,0.065,Trabajo infantil,1.1,1.29
2024,Meta,Blair and Sons Rural,178,163,0.084,Otro,1.2,2.79
2024,Cauca,"Brennan, Brady and Mcknight Rural",267,236,0.115,Migración,1.1,0.03
2020,Nariño,Montgomery-Miller Rural,153,135,0.113,Económica,2.4,3.57
2024,Nariño,Morris-Walters Rural,198,192,0.029,Otro,1.1,0.64
2020,Casanare,Smith-Diaz Rural,218,200,0.079,Otro,1.8,2.06
2022,Chocó,Davis-Floyd Rural,102,92,0.092,Trabajo infantil,1.4,3.66
2023,La Guajira,"Odom, Ortega and Holt Rural",221,194,0.12,Trabajo infantil,1.7,6.07
2020,Amazonas,Smith-Harvey Rural,167,148,0.113,Otro,2.5,16.41
2020,Cauca,"Young, Berry and Stone Rural",187,169,0.096,Migración,1.8,1.45
2021,Putumayo,Gonzalez-Rocha Rural,275,273,0.004,Económica,2.3,1.68
2022,Chocó,"Rivera, Hale and Osborne Rural",90,81,0.099,Acceso,2.3,0.19
2022,Guaviare,Boyd and Sons Rural,52,46,0.103,Otro,1.4,0.26
2020,La Guajira,Mitchell-Williams Rural,117,90,0.223,Económica,2.3,1.63
2024,La Guajira,Roberts-Hunt Rural,119,108,0.09,Trabajo infantil,1.9,0.78
2022,Nariño,Ferguson Inc Rural,225,199,0.115,Trabajo infantil,1.8,3.36
2022,Amazonas,"Thomas, Davis and Lutz Rural",73,61,0.157,Acceso,2.2,1.36
2020,Amazonas,Woods LLC Rural,135,116,0.138,Migración,2.0,6.51
2022,La Guajira,Walker-Delgado Rural,239,198,0.17,Acceso,1.8,5.02
2023,Guaviare,"Scott, Greer and Garcia Rural",52,50,0.03,Económica,1.1,3.84
2021,Guaviare,Gordon LLC Rural,59,56,0.05,Trabajo infantil,1.9,0.21
2021,Casanare,Collins-Garcia Rural,82,76,0.072,Económica,1.5,4.47
2020,Putumayo,"Collins, Hill and Roy Rural",103,100,0.022,Migración,2.0,5.18
2022,Guaviare,Summers-Barber Rural,276,247,0.103,Acceso,2.5,0.96
